,0
0,0.334375
1,0.3453125
2,0.3546875
3,0.34375
4,0.34375
5,0.34375
6,0.34375
7,0.34375
8,0.3515625
9,0.39375
10,0.42265625
11,0.40703125
12,0.3890625
13,0.38203125
14,0.38125
15,0.38828125
16,0.39453125
17,0.4109375
18,0.41953125
19,0.42734375
20,0.4296875
21,0.43828125
22,0.42734375
23,0.409375
24,0.39765625
25,0.40078125
26,0.41171875
27,0.41953125
28,0.43828125
29,0.43515625
30,0.4453125
31,0.45703125
32,0.44765625
33,0.453125
34,0.46953125
35,0.48203125
36,0.49375
37,0.49453125
38,0.49296875
39,0.4890625
40,0.4859375
41,0.4890625
42,0.4890625
43,0.4828125
44,0.4796875
45,0.484375
46,0.48671875
47,0.4859375
48,0.484375
49,0.4875
50,0.48984375
51,0.4953125
52,0.4921875
53,0.48984375
54,0.48828125
55,0.48984375
56,0.49453125
57,0.5015625
58,0.50390625
59,0.50546875
60,0.5078125
61,0.50703125
62,0.509375
63,0.50859375
64,0.50859375
65,0.5078125
66,0.5078125
67,0.5140625
68,0.51796875
69,0.5203125
70,0.52421875
71,0.5328125
72,0.534375
73,0.540625
74,0.54296875
75,0.55078125
76,0.55234375
77,0.56171875
78,0.56796875
79,0.56796875
80,0.57421875
81,0.57734375
82,0.58125
83,0.59140625
84,0.60078125
85,0.60703125
86,0.60546875
87,0.60859375
88,0.60703125
89,0.6078125
90,0.60859375
91,0.61171875
92,0.61953125
93,0.62421875
94,0.63203125
95,0.63359375
96,0.63359375
97,0.6390625
98,0.64296875
99,0.6421875
100,0.65
101,0.65078125
102,0.65390625
103,0.65234375
104,0.65546875
105,0.653125
106,0.6515625
107,0.66484375
108,0.65234375
109,0.665625
110,0.66796875
111,0.66953125
112,0.671875
113,0.67265625
114,0.67734375
115,0.67421875
116,0.6796875
117,0.68046875
118,0.678125
119,0.67890625
120,0.68125
121,0.68203125
122,0.690625
123,0.67890625
124,0.6921875
125,0.68125
126,0.6828125
127,0.69453125
128,0.6828125
129,0.68828125
130,0.6953125
131,0.690625
132,0.68828125
133,0.696875
134,0.6921875
135,0.696875
136,0.68984375
137,0.6953125
138,0.690625
139,0.7015625
140,0.69921875
141,0.68828125
142,0.6984375
143,0.6953125
144,0.6953125
145,0.7015625
146,0.69609375
147,0.6984375
148,0.70546875
149,0.69609375
150,0.70703125
151,0.69765625
152,0.6984375
153,0.69453125
154,0.6984375
155,0.71171875
156,0.6984375
157,0.7125
158,0.7
159,0.7140625
160,0.7015625
161,0.70859375
162,0.71171875
163,0.70390625
164,0.7171875
165,0.7046875
166,0.71484375
167,0.71328125
168,0.7078125
169,0.725
170,0.7078125
171,0.71640625
172,0.7171875
173,0.715625
174,0.721875
175,0.71796875
176,0.734375
177,0.71953125
178,0.7375
179,0.728125
180,0.73515625
181,0.7375
182,0.7375
183,0.74296875
184,0.7296875
185,0.7453125
186,0.72421875
187,0.74765625
188,0.7296875
189,0.7515625
190,0.74921875
191,0.7375
192,0.75078125
193,0.7515625
194,0.75390625
195,0.7578125
196,0.75078125
197,0.7578125
198,0.75859375
199,0.759375
200,0.75859375
201,0.7546875
202,0.7609375
203,0.759375
204,0.75859375
205,0.7578125
206,0.75859375
207,0.7625
208,0.76171875
209,0.75859375
210,0.759375
211,0.759375
212,0.76640625
213,0.7640625
214,0.76796875
215,0.7625
216,0.77109375
217,0.765625
218,0.76953125
219,0.76796875
220,0.76953125
221,0.76796875
222,0.76953125
223,0.77265625
224,0.7671875
225,0.7828125
226,0.76484375
227,0.7859375
228,0.75546875
229,0.7890625
230,0.7625
231,0.78125
232,0.7828125
233,0.76015625
234,0.78828125
235,0.76796875
236,0.78515625
237,0.78359375
238,0.7703125
239,0.7859375
240,0.775
241,0.7859375
242,0.78359375
243,0.78203125
244,0.790625
245,0.78671875
246,0.79140625
247,0.790625
248,0.78828125
249,0.79765625
250,0.78984375
251,0.7984375
252,0.79296875
253,0.79765625
254,0.79296875
255,0.7984375
256,0.796875
257,0.7984375
258,0.80078125
259,0.7953125
260,0.803125
261,0.796875
262,0.7984375
263,0.79765625
264,0.803125
265,0.7953125
266,0.8046875
267,0.79375
268,0.8078125
269,0.7953125
270,0.80625
271,0.80078125
272,0.809375
273,0.8015625
274,0.81171875
275,0.80625
276,0.81484375
277,0.8015625
278,0.81875
279,0.79453125
280,0.828125
281,0.79765625
282,0.83046875
283,0.80390625
284,0.81484375
285,0.81171875
286,0.81640625
287,0.81171875
288,0.81640625
289,0.81796875
290,0.815625
291,0.81875
292,0.81171875
293,0.82890625
294,0.81171875
295,0.83515625
296,0.80859375
297,0.83671875
298,0.80390625
299,0.8265625
300,0.82421875
301,0.821875
302,0.8359375
303,0.815625
304,0.8359375
305,0.81796875
306,0.84140625
307,0.82578125
308,0.8375
309,0.83671875
310,0.82890625
311,0.8375
312,0.828125
313,0.84375
314,0.8296875
315,0.84140625
316,0.8359375
317,0.840625
318,0.8359375
319,0.84453125
320,0.83828125
321,0.8375
322,0.8453125
323,0.8390625
324,0.8453125
325,0.83671875
326,0.84609375
327,0.8484375
328,0.8359375
329,0.85078125
330,0.83828125
331,0.85703125
332,0.83125
333,0.85546875
334,0.81796875
335,0.859375
336,0.82421875
337,0.8578125
338,0.8546875
339,0.82734375
340,0.8625
341,0.846875
342,0.84296875
343,0.8609375
344,0.846875
345,0.85078125
346,0.85546875
347,0.84921875
348,0.85078125
349,0.85625
350,0.85078125
351,0.85390625
352,0.85859375
353,0.85
354,0.8609375
355,0.85625
356,0.85234375
357,0.86328125
358,0.85390625
