,0
0,1.0985072041539143
1,1.098130145198586
2,1.0978052098619613
3,1.0975071448903686
4,1.0972212733982833
5,1.0969470726267803
6,1.0966844658504735
7,1.096431653068621
8,1.0961894579561577
9,1.095957302632299
10,1.0957345049315306
11,1.0955278133428676
12,1.0953299550167874
13,1.0951339531765045
14,1.09493715754452
15,1.0947399730567422
16,1.0945432398819777
17,1.0943487524156754
18,1.0941574651363242
19,1.093966806675417
20,1.0937730178308662
21,1.0935757589494015
22,1.0933746916554428
23,1.0931675567058066
24,1.0929559604628367
25,1.092733339883864
26,1.0924997504034286
27,1.0922530745198022
28,1.091995095803944
29,1.091720505558985
30,1.0914396073686063
31,1.091179566664204
32,1.09093039200932
33,1.0906738911927822
34,1.0904085303941804
35,1.090135797288031
36,1.0898541213505062
37,1.089563697279862
38,1.089265826007349
39,1.0889607764392943
40,1.0886490412402055
41,1.0883270228878583
42,1.087994408428022
43,1.0876512363197819
44,1.0872960752830454
45,1.0869277192159807
46,1.0865481387470386
47,1.0861564415225948
48,1.0857500164278635
49,1.0853308318180515
50,1.0848983333972395
51,1.0844519415789349
52,1.0839871258562155
53,1.0835050603326368
54,1.0830073882778675
55,1.0824932885746965
56,1.0819623216732834
57,1.081411524669229
58,1.0808409280988787
59,1.0802500930180747
60,1.0796333403854905
61,1.078999198050359
62,1.0783584865319094
63,1.077704744184269
64,1.0770288551794194
65,1.0763286748468983
66,1.0756028250884078
67,1.074854372870067
68,1.0740838256907985
69,1.0732883043498131
70,1.0724716461604302
71,1.0716371462642666
72,1.0707750305639867
73,1.0698819192788505
74,1.0689634441729556
75,1.0680274661846814
76,1.067068401648584
77,1.0660835917073939
78,1.0650702164389285
79,1.0640270815448625
80,1.0629535869088407
81,1.0618502673283055
82,1.060714103978469
83,1.0595464567057313
84,1.05834783859773
85,1.0571188429057898
86,1.0558578278441648
87,1.0545649123893963
88,1.0532391308711184
89,1.051876589652265
90,1.0504802148328263
91,1.0490475124943615
92,1.0475794634200075
93,1.046075304725612
94,1.0445334558721915
95,1.0429445731582137
96,1.0413168830543809
97,1.0396526380121949
98,1.037953282931705
99,1.0362150567240396
100,1.034432553274439
101,1.0326027457038018
102,1.0307290344577227
103,1.0288093228365291
104,1.0268386408773202
105,1.0248218333386816
106,1.022766420289843
107,1.0206721841481576
108,1.018539084306917
109,1.0163659018132596
110,1.014153416351616
111,1.0119046101104616
112,1.0096185569884215
113,1.0072937233286792
114,1.0049333015800446
115,1.0025488310139337
116,1.0001358975072647
117,0.9976953832866882
118,0.9952298106275848
119,0.9927412921188183
120,0.990226753145274
121,0.9876958719143124
122,0.9851445305730394
123,0.9825724378935016
124,0.9799918074202703
125,0.9774081475420827
126,0.9748242508201477
127,0.9722450447982794
128,0.9696731146052526
129,0.9671124594526728
130,0.9645746839108937
131,0.9620573099876676
132,0.9595627104347433
133,0.9570921092658239
134,0.9546369551379286
135,0.9521956716763835
136,0.9497724495755829
137,0.9473743921246633
138,0.9450050051645487
139,0.9426601555906423
140,0.9403453010077378
141,0.9380656597222213
142,0.9358242199960708
143,0.9336184489100987
144,0.9314406849253691
145,0.9292928520464703
146,0.9271882228950966
147,0.9251164851664402
148,0.9230767877886604
149,0.9210731495619131
150,0.9191146275332965
151,0.9172001065456532
152,0.9153372975378051
153,0.9135151049700582
154,0.9117368686030956
155,0.910004232891399
156,0.9083190733394296
157,0.9066770748606064
158,0.9050746500117034
159,0.9035081284873805
160,0.9019688325611392
161,0.9004589662692194
162,0.8989772971552992
163,0.8975277262561339
164,0.8961112044815354
165,0.8947251318696162
166,0.8933668424411376
167,0.8920360190903306
168,0.8907349161305126
169,0.8894562580717895
170,0.8882018443409618
171,0.886969204085483
172,0.885766074019779
173,0.8845894194994731
174,0.8834361844703376
175,0.8823018307236566
176,0.88119410132176
177,0.8801059183876747
178,0.8790285027965602
179,0.8779668938630557
180,0.8769198670247687
181,0.8758896206462845
182,0.8748788050652925
183,0.8738814288385669
184,0.8728974188287362
185,0.8719255243865136
186,0.8709646376194844
187,0.87001518367515
188,0.8690790676149766
189,0.8681544789489071
190,0.8672404949662692
191,0.8663331325846542
192,0.8654339996583085
193,0.8645415005178231
194,0.8636545001165159
195,0.8627751123466773
196,0.8619020826532774
197,0.8610370524063544
198,0.8601759605091261
199,0.8593140235379048
200,0.8584567902653444
201,0.8576021613621794
202,0.8567499931974597
203,0.8558998388810239
204,0.855054796731556
205,0.8542134662692824
206,0.8533761779984147
207,0.8525429136968615
208,0.8517109098664042
209,0.8508801808052608
210,0.8500500107606399
211,0.8492158774367425
212,0.8483784248355523
213,0.8475419789184817
214,0.8467072620474607
215,0.8458691923494058
216,0.8450336635105729
217,0.8441960217371098
218,0.843351955071404
219,0.8425056025697095
220,0.8416617870916445
221,0.8408207943728143
222,0.8399763820140531
223,0.8391314274961756
224,0.8383039383288745
225,0.8374774924965613
226,0.836648915989103
227,0.8358205185661085
228,0.8349900191205307
229,0.8341503936337521
230,0.8333037509878652
231,0.8324493376186968
232,0.831594505289511
233,0.8307321337699302
234,0.829861266085634
235,0.8289906403419296
236,0.8281228400826729
237,0.8272566127681629
238,0.8264000498375607
239,0.8255467829723763
240,0.8246989331709056
241,0.8238496565073115
242,0.8229990137604144
243,0.8221498404126452
244,0.8212915156303543
245,0.820431527532462
246,0.8195692282332534
247,0.8187026430738056
248,0.8178324245180301
249,0.8169639239110487
250,0.8160970390540616
251,0.8152341423136559
252,0.8143717994563655
253,0.8135099537602504
254,0.8126423490122828
255,0.8117666655307245
256,0.8108872541617547
257,0.8100055360864038
258,0.8091216759894158
259,0.8082306044499425
260,0.8073344102283582
261,0.8064332331151205
262,0.8055268036943349
263,0.8046124008064981
264,0.8036917867106081
265,0.8027641561892814
266,0.8018338263160777
267,0.8009010803096226
268,0.7999661499861991
269,0.7990280681095652
270,0.798091937886088
271,0.7971565140359143
272,0.7962193788906136
273,0.7952659021161461
274,0.7943050740221573
275,0.7933392202888198
276,0.7923596456746173
277,0.7913756309236801
278,0.7903830622961975
279,0.7893854507602496
280,0.788389961176201
281,0.7873892389655837
282,0.7863878616412089
283,0.7853790145132858
284,0.784349483011936
285,0.7833170366171486
286,0.782278171584222
287,0.7811821956548881
288,0.7800550168169503
289,0.7789313960745566
290,0.7778144082591342
291,0.7767046129869738
292,0.7756464290048688
293,0.7746152524293367
294,0.7735833939030676
295,0.7725426243469238
296,0.7714914787984697
297,0.7704234135647218
298,0.7693355502736512
299,0.7682474185760573
300,0.7671615538364549
301,0.766079690786106
302,0.7649982629469966
303,0.7639166556520278
304,0.762840036873973
305,0.7617585283946339
306,0.7606630681046775
307,0.7595742961629521
308,0.7584926040086872
309,0.7574114989835252
310,0.7563372599830329
311,0.7552589541045451
312,0.7541855084327169
313,0.7531015681547345
314,0.7520064121688114
315,0.7509064384171321
316,0.7498092347420539
317,0.7487282834730833
318,0.7476387199795063
319,0.7465290413526833
320,0.7454202710178208
321,0.7443201051301718
322,0.7432150248036153
323,0.7421129247892939
324,0.7410108154706609
325,0.7399038776588581
326,0.7387946615059324
327,0.7376979103012444
328,0.7366033753896243
329,0.7355254893003053
330,0.7344585843665513
331,0.7333980823412809
332,0.7323173546314397
333,0.7312252797861887
334,0.730123438110537
335,0.7290091668931209
336,0.7279028189822471
337,0.7268086774235123
338,0.7257017184713306
339,0.7245792328402181
340,0.7234538847163177
341,0.7223534704135247
342,0.7212691649866183
343,0.7201813711699564
344,0.7190804834806481
345,0.7179818157705136
346,0.7168871138515773
347,0.7157921410090196
348,0.7146985298673185
349,0.7136092170372488
350,0.7125229503425358
351,0.7114538774207052
352,0.7103828955397213
353,0.7093100806395646
354,0.7082344938067916
355,0.7071463868389197
356,0.7060470238240202
357,0.7049552074508809
358,0.7038543126306336
359,0.7027361158315861
360,0.7016012239366388
361,0.700434430809766
362,0.6992401615566626
363,0.6980539712886231
364,0.696869664419003
365,0.6956903232576521
366,0.694529410104865
367,0.6933969410503547
368,0.6922866035150411
369,0.6911961902209252
370,0.6901099535826796
371,0.6890531802424091
372,0.6879936865860015
373,0.6869305233453239
374,0.6858636171578343
375,0.6847895825158112
376,0.6837051070268759
377,0.6826210862067538
378,0.6815338707801005
379,0.6804090404406186
380,0.6792550850560857
381,0.6781273078686962
382,0.6770042606173245
383,0.6758852571235197
384,0.6747967149657633
385,0.6737239291754741
386,0.6726551709430921
